Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Kısaca Barcelona,Kitap > Tarih,Gary W. McDonogh,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (2 oy),55,6,1,2,"400,00",14.08.2023,TÜRKÇE,304,Karton Kapak,13 x 21 cm,Kitap Kağıdı,52,1
Sırça Köşk,Kitap > Edebiyat > Hikaye (Yerli),Sabahattin Ali,CAN YAYINLARI,5 / 5 (95 oy),455,78,9,108,"85,00",02.11.2019,TÜRKÇE,176,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,1743,45
Kursak Krampları,Kitap > Edebiyat > Hikaye (Yerli),Cihan Aldık,HAYY KİTAP - KAMPANYA,5 / 5 (2 oy),7,0,0,1,"150,00",05.11.2019,TÜRKÇE,120,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,39,1
İnanma! Tersine Odaklan,Kitap > Psikoloji > İnceleme,Dr. Meryem Çelik,URZENİ,5 / 5 (1 oy),26,0,0,2,"220,00",03.11.2021,TÜRKÇE,143,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,33,1
Gölge HırsızıTuhaf Maceralar  1,Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce,Alexandra Adornetto,PEGASUS YAYINLARI,5 / 5 (7 oy),98,6,0,5,"269,00",13.06.2014,TÜRKÇE,320,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,29,1
Aslan Nasıl Yemeğinden Oldu? - Jeremy James'in Maceraları 3,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İngilizce",David Henry Wilson,İLETİŞİM YAYINLARI KAMPANYA,4 / 5 (7 oy),76,2,1,4,"78,00",04.07.2006,TÜRKÇE,101,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,255,3
Aleviliğin İnanç Tarihine Işık Tutan Bir YazmaTabibu'l-Kulubi'l-Asfiya ve Seyru Sülûki’l-Evliya,Kitap > Din > Dini Metinler,Anonim,LEJAND,5 / 5 (2 oy),47,2,0,1,"350,00",27.12.2023,TÜRKÇE,300,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,291,1
Şemsiye Teoremi,Kitap > Bilim & Mühendislik > Popüler Bilim,Mickael Launay,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (3 oy),127,9,2,1,"350,00",21.01.2022,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,88,2
Vahşi Meyve,Kitap > Edebiyat > Roman (Çeviri),Sheng Keyi,DEDALUS KİTAP,5 / 5 (4 oy),101,8,0,6,"360,00",09.11.2020,TÜRKÇE,360,Karton Kapak,13 x 20 cm,Kitap Kağıdı,285,2
Şiirle Dolu Kitap,Kitap > Edebiyat > Şiir (Yerli),Mehmet Serhat Bıçak,KRONOLOJİ YAYINLARI,Puan Yok,3,0,0,1,"140,00",27.01.2021,TÜRKÇE,125,Karton Kapak,13 x 19 cm,Kitap Kağıdı,17,0
