Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Sayfa Sayısı,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan,Oy_Sayisi,Yayin_Yili,En,Boy,Yazar_Kitap_Sayisi,Yayınevi_DESTEK YAYIN GRUBU-KAMPANYA,Yayınevi_Diğer,Yayınevi_EPONA KİTAP,Yayınevi_FİHRİST KİTAP,Yayınevi_HAYY KİTAP - KAMPANYA,Yayınevi_PEGASUS YAYINLARI,Yayınevi_SARMAL KİTABEVİ,Yayınevi_SAY YAYIN GRUBU-KAMPANYA,Yayınevi_URZENİ,Yayınevi_YEDİVEREN YAYIN GRUBU - KAMPANYA,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam
0.35233160621761656,0.851063829787234,0.425531914893617,0.7086021505376344,0.43537414965986393,0.3364485981308411,0.32,1.0,0.3157894736842105,0.8974358974358978,0.375,0.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05872193436960276,0.0425531914893617,0.0425531914893617,0.4086021505376344,0.4200680272108843,0.07684319833852545,0.0,0.0,0.0,0.948717948717956,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055267702936096716,0.0,0.0,0.9999999999999999,0.8503401360544217,0.06230529595015576,0.0,0.0,0.0,0.948717948717956,0.375,0.45833333333333304,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08635578583765112,0.0,0.0,0.9999999999999999,0.7823129251700679,0.016614745586708203,0.0,0.0,0.0,0.8974358974358978,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.12435233160621761,0.0851063829787234,0.0425531914893617,0.4838709677419355,0.163265306122449,0.07268951194184839,0.0,0.0,0.0,0.8974358974358978,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.27979274611398963,0.3829787234042553,0.7234042553191489,0.535483870967742,0.6530612244897959,0.3011422637590862,0.48,1.0,0.45614035087719296,0.5897435897435912,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05181347150259067,0.1276595744680851,0.0425531914893617,0.643010752688172,0.3333333333333333,0.05815160955347871,0.08,0.0,0.03508771929824561,0.7435897435897516,0.625,0.625,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4006908462867012,0.2978723404255319,0.5957446808510638,0.535483870967742,0.6394557823129251,0.1889927310488058,0.16,0.6000000000000001,0.3157894736842105,0.435897435897445,0.625,0.625,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1001727115716753,0.0851063829787234,0.1276595744680851,0.0,0.42176870748299317,0.12045690550363447,0.0,0.6000000000000001,0.10526315789473684,0.487179487179489,0.625,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013081174438687391,1.0,1.0,0.8387096774193549,0.6530612244897959,0.9999999999999999,1.0,1.0,1.0,0.8974358974358978,0.625,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
