Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Cingo (Karton Kapak),Kitap > Çocuk Kitapları > Hikaye,Şermin Yaşar,DOĞAN EGMONT ÇOCUK KİTAPLARI,5 / 5 (145 oy),2.791,182,30,515,"350,00",07.06.2021,TÜRKÇE,188,Karton Kapak,13.7 x 21 cm,Kitap Kağıdı,11668,102
Uzaydaki Gizemli Robot – Faruk,Kitap > Çocuk Kitapları > Hikaye,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (48 oy),870,39,1,81,"110,00",08.11.2024,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,4618,25
Okçu'nun Yolu,Kitap > Edebiyat > Roman (Çeviri),Paulo Coelho,CAN YAYINLARI,4 / 5 (373 oy),6.678,543,40,775,"285,00",23.09.2021,TÜRKÇE,168,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12856,203
Origami ile Kolay Matematik,Kitap > Çocuk Kitapları > 6-12 Yaş > Eğitici ve Yardımcı Kitaplar,Y. Matematik Müh. Burcu Şansan,MATARA ÇOCUK,5 / 5 (56 oy),1.432,59,15,62,"210,00",22.05.2020,TÜRKÇE,122,Karton Kapak,19.9 x 28.2 cm,Kitap Kağıdı,3067,34
Suzan Defter,Kitap > Edebiyat > Roman (Yerli),Ayfer Tunç,CAN YAYINLARI,5 / 5 (897 oy),7.724,516,43,1.236,"240,00",12.05.2022,TÜRKÇE,128,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,14638,531
İncir Kuşları,Kitap > Edebiyat > Roman (Yerli),Sinan Akyüz,ALFA YAYINLARI,5 / 5 (1327 oy),9.217,474,63,2.142,"375,00",22.07.2025,TÜRKÇE,328,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,13150,1.024
Mai ve Siyah,Kitap > Edebiyat > Roman (Yerli) > Kitap > Edebiyat > 100 Temel Eser,Halid Ziya Uşaklıgil,KAPRA YAYINCILIK,5 / 5 (209 oy),7.992,415,41,479,"30,00",11.02.2021,TÜRKÇE,296,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,17097,115
Kıl Niyazi,Kitap > Çocuk Kitapları > Çizgi Roman,Hatice Kübra Tongar,AİLE YAYINLARI,5 / 5 (176 oy),1.424,171,31,376,"120,00",11.10.2023,TÜRKÇE,56,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,15227,134
At Şu Adımı,Kitap > Kişisel Gelişim,Ahmet Şerif İzgören,ELMA YAYINEVİ,5 / 5 (128 oy),5.194,340,36,248,"175,00",18.10.2024,TÜRKÇE,160,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7117,82
Sevr LozanAynı Antlaşmalar,Kitap > Siyaset > Araştırma-İnceleme,Burak Turna,DESTEK YAYINLARI,4 / 5 (40 oy),684,103,9,49,"300,00",24.10.2024,TÜRKÇE,280,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1194,28
Bandırma Roket Kulübü,Kitap > Çocuk Kitapları > Hikaye,Ahmet Şerif İzgören,ELMA YAYINEVİ,5 / 5 (69 oy),768,51,8,120,"149,00",03.09.2020,TÜRKÇE,128,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,5749,30
İnsan Neyle Yaşar?,Kitap > Çocuk Kitapları > 100 Temel Eser,Lev N. Tolstoy,KAPRA YAYINCILIK,5 / 5 (215 oy),4.892,202,11,693,"30,00",21.12.2020,TÜRKÇE,48,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,15860,144
İnsan Olmak,Kitap > Psikoloji > Psikolojik Danışma,Engin Geçtan,METİS YAYINLARI,5 / 5 (2142 oy),29.849,1.961,280,2.720,"244,00",12.06.2023,TÜRKÇE,192,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,62778,1.116
Dede Korkut Hikayeleri,Kitap > Edebiyat > Hikaye (Yerli) > Kitap > Edebiyat > 100 Temel Eser,Anonim,KAPRA YAYINCILIK,5 / 5 (248 oy),1.862,244,26,247,"30,00",13.01.2021,TÜRKÇE,244,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,15343,124
Hafıza Koleksiyoncusu,Kitap > Edebiyat > Polisiye,Kayahan Demir,TİMAŞ GENÇ,5 / 5 (172 oy),1.984,178,9,289,"190,00",27.09.2024,TÜRKÇE,176,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,7197,84
Asude Bahçe,Kitap > Edebiyat > Hikaye (Yerli),Funda Uçuk Er,CEZVE KİTAP,5 / 5 (225 oy),2.682,170,24,440,"270,00",09.06.2021,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,11100,157
Dervişin Teselli KoleksiyonuDoğu'dan Batı'dan 99 Teselli,Kitap > İslam > Tasavvuf > Kitap > Felsefe-Düşünce > Filozoflar-Düşünürler,Mecit Ömür Öztürk,HAYY KİTAP,5 / 5 (2044 oy),16.682,1.687,403,2.278,"325,00",01.01.2019,TÜRKÇE,344,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,63711,1.228
Mırıldanan Çocuk,Kitap > Çocuk Kitapları > Roman > Kitap > Edebiyat > Roman (Çeviri),Gabriele Clima,TİMAŞ İLK GENÇ,5 / 5 (312 oy),3.234,283,27,524,"175,00",18.07.2025,TÜRKÇE,184,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,17520,164
Bunun Adı Findel,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İngilizce",Andrew Clements,GÜNIŞIĞI KİTAPLIĞI,5 / 5 (961 oy),5.755,602,75,1.347,"245,00",18.10.2024,TÜRKÇE,112,Karton Kapak,12 x 18 cm,Kitap Kağıdı,57034,430
ErtelemeNedenleri ve Çözümleri,Kitap > Psikoloji > İnceleme,Nihan Kaya,EKSİK PARÇA YAYINLARI,5 / 5 (95 oy),3.613,167,36,147,"249,00",27.09.2023,TÜRKÇE,200,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6795,56
Salkım Sokak No:3,Kitap > Edebiyat > Roman (Yerli),İclal Aydın,ARTEMİS YAYINLARI,5 / 5 (145 oy),2.438,162,29,297,"345,00",02.07.2024,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5438,112
Gökyüzüne Bakmanın Faydaları,Kitap > İslam > Kültür,İmam Gazali,NESİL YAYINLARI,5 / 5 (418 oy),9.361,555,78,608,"120,00",12.01.2023,TÜRKÇE,128,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,14425,222
Huzura Varınca,Kitap > Din > Diğer > Kitap > İslam > Diğer > Kitap > İslam > Tasavvuf > Kitap > Kişisel Gelişim > Kitap > İslam > Araştırma-İnceleme,Mecit Ömür Öztürk,TİMAŞ YAYINLARI,5 / 5 (57 oy),1.359,85,11,57,"200,00",08.10.2024,TÜRKÇE,176,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2703,27
Mira Öfke Gezegeni'nden Ayrılıyor / Duygu Günlüğüm,Kitap > Çocuk Kitapları > Diğer,Oya Doğan,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (45 oy),1.233,66,5,115,"120,00",10.10.2023,TÜRKÇE,64,Karton Kapak,15 x 21 cm,Kitap Kağıdı,5147,25
Robi Kurtar Bizi,Kitap > Çocuk Kitapları > Diğer,Faruk Yıldız,ERDEM ÇOCUK YAYINLARI,5 / 5 (29 oy),323,40,6,41,"130,00",11.10.2024,TÜRKÇE,128,Karton Kapak,12.5 x 21 cm,Kitap Kağıdı,6136,18
Beyaz Gemi,Kitap > Edebiyat > Roman (Yerli),Cengiz Aytmatov,KETEBE YAYINEVİ,5 / 5 (351 oy),6.263,458,39,974,"70,00",02.06.2021,TÜRKÇE,180,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,17952,186
Çöplük,"Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İngilizce",Andy Mulligan,TUDEM YAYINEVİ,5 / 5 (513 oy),4.269,386,64,678,"240,00",01.01.2015,TÜRKÇE,220,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,21210,233
Hayat İmkansız,Kitap > Edebiyat > Roman (Çeviri),Matt Haig,DOMİNGO YAYINEVİ,5 / 5 (133 oy),5.865,288,47,347,"295,00",09.09.2024,TÜRKÇE,368,Karton Kapak,14 x 21 cm,Kitap Kağıdı,8407,97
Sırça Köşk,Kitap > Edebiyat > Roman (Yerli),Sabahattin Ali,KAPRA YAYINCILIK,5 / 5 (115 oy),3.342,202,24,290,"30,00",13.01.2021,TÜRKÇE,152,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,9859,69
Ulusların Düşüşü,Kitap > Siyaset > Araştırma-İnceleme > Kitap > Orijinal Dil > İngilizce,Daron Acemoğlu,DOĞAN KİTAP,5 / 5 (1117 oy),13.391,1.270,186,937,"395,00",25.10.2024,TÜRKÇE,496,Karton Kapak,14 x 23 cm,Kitap Kağıdı,29427,476
Matilda,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İngilizce",Roald Dahl,CAN ÇOCUK YAYINLARI,5 / 5 (849 oy),5.665,476,56,1.002,"320,00",14.01.2022,TÜRKÇE,256,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,31906,397
Köpek Gibi Büyütülmüş Çocuk,Kitap > Psikoloji > Genel,Maia Szalavitz,KORİDOR YAYINCILIK,5 / 5 (1104 oy),13.365,941,152,1.085,"340,00",06.11.2017,TÜRKÇE,456,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,22766,603
Seni Yoran Her Şeyi BırakDuygusal Manipülasyondan Kurtulma ve Korunma Metotları,Kitap > Kişisel Gelişim,Müthiş Psikoloji,DESTEK YAYINLARI,4 / 5 (28 oy),4.993,184,17,144,"230,00",15.02.2023,TÜRKÇE,Bilgi Yok,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2874,21
Nohut Adam,Kitap > Çocuk Kitapları > Diğer,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (593 oy),6.271,462,67,1.269,"125,00",22.09.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,40422,356
Var mısın?Güçlü Bir Yaşam İçin Öneriler,Kitap > Kişisel Gelişim,Doğan Cüceloğlu,KRONİK KİTAP,5 / 5 (2030 oy),32.144,3.643,623,3.637,"295,00",11.01.2021,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,2. Hm. Kağıt,102131,1.124
Dünyanın En Komik Hayvanı,Kitap > Çocuk Kitapları > Hikaye,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (18 oy),515,12,1,41,"90,00",05.02.2025,TÜRKÇE,32,Karton Kapak,15 x 21 cm,Kitap Kağıdı,3097,12
Yuan Huan 2: Kütüphanedeki Kamera,Kitap > Çocuk Kitapları > Roman,Miyase Sertbarut,TUDEM YAYINEVİ,5 / 5 (44 oy),811,68,4,68,"180,00",07.01.2025,TÜRKÇE,128,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,4019,25
Uğultulu Tepeler,Kitap > Edebiyat > Roman (Çeviri),Emily Bronte,CAN YAYINLARI,5 / 5 (1638 oy),20.373,1.671,165,2.443,"220,00",25.09.2019,TÜRKÇE,408,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,33924,839
Hayta,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ İLK GENÇ,5 / 5 (106 oy),1.478,124,19,255,"135,00",08.08.2023,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,8365,69
Duygu Günlüğüm / Mira ve Yekta Zorbalık Adası'nda Mücadele,Kitap > Çocuk Kitapları > Hikaye,Oya Doğan,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (47 oy),1.383,59,8,106,"120,00",08.03.2024,TÜRKÇE,64,Karton Kapak,15 x 21 cm,Kitap Kağıdı,5225,23
Sessiz Hasta,Kitap > Edebiyat > Roman (Çeviri),Alex Michaelides,DOMİNGO YAYINEVİ,5 / 5 (284 oy),4.536,302,25,555,"295,00",22.07.2024,TÜRKÇE,309,Karton Kapak,14 x 21 cm,Kitap Kağıdı,7267,200
Bir Yöneticinin Çocukluğu,Kitap > Edebiyat > Hikaye (Çeviri),Jean Paul Sartre,CAN YAYINLARI,4 / 5 (56 oy),1.268,92,8,70,"190,00",13.10.2021,TÜRKÇE,104,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,1827,33
"Kalk, Çalış, Başarısız Ol!Hayatta Sana Anlatılmayan Gerçekler",Kitap > Kişisel Gelişim,Behçet Yalın Özkara,KRONİK KİTAP,5 / 5 (141 oy),2.312,225,42,170,"245,00",24.10.2024,TÜRKÇE,176,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5626,94
Yaralı Şövalye,Kitap > Edebiyat > Roman (Çeviri),L. J. Shen,OLİMPOS YAYINLARI,4 / 5 (14 oy),555,27,0,28,"319,00",18.04.2023,TÜRKÇE,Bilgi Yok,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,549,10
Aşk Hikayesi,Kitap > Edebiyat > Roman (Yerli),Prof. Dr. İskender Pala,KAPI YAYINLARI,5 / 5 (426 oy),8.713,619,101,982,"295,00",25.10.2023,TÜRKÇE,272,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,15826,311
"İslam, Aydınlanma ve Gelecek",Kitap > İslam > Araştırma-İnceleme,İbrahim Kalın,İNSAN YAYINLARI,5 / 5 (51 oy),3.141,191,20,65,"240,00",18.10.2024,TÜRKÇE,244,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2721,26
Puslu Kıtalar Atlası,Kitap > Edebiyat > Roman (Yerli),İhsan Oktay Anar,İLETİŞİM YAYINLARI,5 / 5 (5281 oy),42.647,3.346,350,7.627,"295,00",02.06.2021,TÜRKÇE,238,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,80785,3.046
Yüzyıllık Yalnızlık (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İspanyolca,Gabriel Garcia Marquez,CAN YAYINLARI,4 / 5 (6121 oy),49.476,4.852,471,6.773,"490,00",24.09.2019,TÜRKÇE,464,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,77582,2.543
Güneşsiz 1: Cehennem Diskosu,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Edebiyat > Polisiye > Kitap > Edebiyat > Korku-Gerilim,Jean Christophe Grange,DOĞAN KİTAP,5 / 5 (45 oy),1.215,137,16,61,"375,00",06.08.2025,TÜRKÇE,408,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,2558,22
İrade Terbiyesi,Kitap > Kişisel Gelişim,Jules Payot,KAPRA YAYINCILIK,5 / 5 (491 oy),13.785,1.045,163,936,"30,00",21.01.2021,TÜRKÇE,232,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,43441,260
Naneyi Yedik Lokantası,Kitap > Çocuk Kitapları > Hikaye,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (341 oy),5.235,321,53,690,"125,00",06.05.2024,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,31102,220
Masal Masal İçinde,Kitap > Çocuk Kitapları,Ahmet Ümit,YAPI KREDİ YAYINLARI,5 / 5 (414 oy),4.637,248,52,802,"200,00",03.08.2023,TÜRKÇE,144,Karton Kapak,13.5 x 19.8 cm,Kitap Kağıdı,24459,234
Cesur Yeni Dünya,Kitap > Edebiyat > Bilimkurgu-Fantazya > Kitap > Orijinal Dil > İngilizce,Aldous Huxley,İTHAKİ YAYINLARI,5 / 5 (7295 oy),49.938,5.256,667,9.334,"220,00",20.08.2021,TÜRKÇE,272,Karton Kapak,11 x 18 cm,Kitap Kağıdı,130064,3.426
Çantamdan Fil Çıktı,Kitap > Çocuk Kitapları > Hikaye,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (596 oy),9.467,719,125,1.546,"125,00",09.05.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,61341,364
Hızlı ve Yavaş Düşünme,Kitap > Kişisel Gelişim > Kitap > Ekonomi > İş Dünyası > Kitap > Orijinal Dil > İngilizce,Daniel Kahneman,VARLIK YAYINLARI,5 / 5 (535 oy),13.728,959,114,406,"450,00",14.11.2017,TÜRKÇE,568,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,21262,244
Milli Şairimiz Mehmet Akif,Kitap > Çocuk Kitapları > 6-12 Yaş > Eğitici ve Yardımcı Kitaplar,Metin Özdamarlar,EĞLENCELİ BİLGİ,5 / 5 (82 oy),694,61,6,130,"160,00",08.06.2022,TÜRKÇE,144,Karton Kapak,15 x 19 cm,Kitap Kağıdı,8314,40
Endişe Ağacı,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Marianne Musgrove,ALTIN KİTAPLAR - ÖZEL ÜRÜN,5 / 5 (340 oy),3.199,221,34,506,"175,00",08.08.2023,TÜRKÇE,128,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,17857,181
2025 Kitapyurdu Masa Takvimi (Kediler ve Kitap),Kırtasiye > Ajanda ve Takvim > Masa Takvimi,Bilgi Yok,ÜÇ HARF YAYINCILIK,5 / 5 (57 oy),250,0,0,0,"90,00",21.10.2024,Bilgi Yok,Bilgi Yok,Bilgi Yok,16 x 18 cm,Bilgi Yok,Bilgi Yok,31
Dünyanın En Yalnız Beyni,Kitap > Bilim & Mühendislik > Popüler Bilim,Serkan Karaismailoğlu,ORTAPİA,5 / 5 (277 oy),6.044,550,92,581,"295,00",21.07.2023,TÜRKÇE,312,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,15770,190
Bin Dokuz Yüz Seksen Dört - 1984,Kitap > Edebiyat > Roman (Çeviri),George Orwell,KAPRA YAYINCILIK,5 / 5 (633 oy),6.756,829,131,1.974,"30,00",05.01.2021,TÜRKÇE,296,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,33416,363
Kitap Kurdu Olmak İstemeyen Maya,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (126 oy),1.644,67,6,206,"90,00",03.06.2024,TÜRKÇE,32,Karton Kapak,15 x 21 cm,1. Hm. Kağıt,5708,63
Hacı Murat,Kitap > Edebiyat > Roman (Çeviri),Lev N. Tolstoy,KAPRA YAYINCILIK,5 / 5 (103 oy),1.907,127,11,180,"30,00",24.11.2021,TÜRKÇE,152,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,5724,54
Yıldız Tozu / Günümüz Çocuk Edebiyatı Dizisi,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Mustafa Kutlu,ERDEM ÇOCUK YAYINLARI,5 / 5 (577 oy),3.065,226,21,595,"110,00",01.04.2020,TÜRKÇE,64,Karton Kapak,13.5 x 19.5 cm,1. Hm. Kağıt,16469,244
Savaş Sanatı,Kitap > Siyaset > Araştırma-İnceleme,Sun Tzu,KAPRA YAYINCILIK,5 / 5 (153 oy),3.334,211,22,298,"20,00",21.12.2020,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,9807,88
Dadanık,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,DOĞAN ÇOCUK,5 / 5 (44 oy),896,58,8,90,"180,00",26.03.2024,TÜRKÇE,128,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,3644,26
Harry Potter ve Sırlar Odası,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce",J. K. Rowling,YAPI KREDİ YAYINLARI,5 / 5 (2801 oy),10.184,1.149,205,4.476,"280,00",29.08.2019,TÜRKÇE,314,Karton Kapak,13.5 x 19.45 cm,Kitap Kağıdı,43360,1.145
Dikkat Zengin Yapabilir,Kitap > Ekonomi > Araştırma-İnceleme,Cihat E.  Çiçek,ÜÇÜNCÜ GÖZ,5 / 5 (87 oy),1.367,229,45,172,"245,00",31.10.2024,TÜRKÇE,144,Karton Kapak,13.7 x 21.5 cm,3. Hm. Kağıt,6704,76
Martin Eden (Beyaz Kapak),Kitap > Edebiyat > Roman (Çeviri),Jack London,CAN YAYINLARI,5 / 5 (420 oy),9.844,516,69,916,"200,00",25.04.2019,TÜRKÇE,496,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,14255,255
Erişkin Acil Servis Order-Reçete El Kitabı,Kitap > Sağlık-Tıp > Diğer,Dr. Muhammed Emrullah Yıldırım,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),4 / 5 (13 oy),477,27,8,13,,26.07.2024,TÜRKÇE,160,Karton Kapak,15 x 22.5 cm,1. Hm. Kağıt,4658,9
Sözcüklerin Kamera Arkası,Kitap > Çocuk Kitapları > Roman,Ferhat Taştekin,TİMAŞ İLK GENÇ,5 / 5 (148 oy),3.333,248,32,316,"145,00",07.08.2024,TÜRKÇE,144,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,24560,80
Eylül,Kitap > Edebiyat > Roman (Yerli),Mehmed Rauf,KAPRA YAYINCILIK,5 / 5 (224 oy),4.584,368,45,475,"30,00",13.01.2021,TÜRKÇE,286,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12851,118
NeksusTaş Devri’nden Yapay Zekaya Bilgi Ağlarının Kısa Tarihi,Kitap > Tarih > Dünya,Yuval Noah Harari,KOLEKTİF KİTAP,5 / 5 (49 oy),2.019,113,15,54,"550,00",09.10.2024,TÜRKÇE,448,Karton Kapak,15 x 21.5 cm,Kitap Kağıdı,3749,27
Afrikalı Leo,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Fransızca,Amin Maalouf,YAPI KREDİ YAYINLARI,5 / 5 (1932 oy),18.250,1.313,148,2.731,"200,00",28.10.2019,TÜRKÇE,374,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,29619,1.011
Ayı Olmayan Ayı,Kitap > Çocuk Kitapları > Hikaye,Frank Tashlin,REDHOUSE KIDZ YAYINLARI,5 / 5 (328 oy),1.816,109,11,429,"200,00",25.09.2017,TÜRKÇE,64,Karton Kapak,15.5 x 23 cm,Kitap Kağıdı,13569,177
Görmek,Kitap > Edebiyat > Roman (Çeviri),Jose Saramago,KIRMIZI KEDİ YAYINEVİ,4 / 5 (27 oy),2.203,69,5,104,"400,00",16.07.2024,TÜRKÇE,296,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,1960,20
Balıkçı ve Oğlu,Kitap > Edebiyat > Roman (Yerli),Zülfü Livaneli,İNKILAP KİTABEVİ,5 / 5 (792 oy),12.091,856,89,2.273,"245,00",01.06.2021,TÜRKÇE,140,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,29849,521
Baharın İlk Şarkısı,Kitap > Edebiyat > Roman (Yerli),Bahar Eriş,ALFA YAYINLARI,5 / 5 (33 oy),1.075,65,7,78,"195,00",18.07.2025,TÜRKÇE,144,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2538,16
Seyir,Kitap > Edebiyat > Roman (Yerli),Piraye,MONA KİTAP,4 / 5 (192 oy),7.235,475,91,536,"475,00",04.09.2025,TÜRKÇE,408,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,9975,142
İnsanlığımı Yitirirken,Kitap > Edebiyat > Roman (Çeviri),Osamu Dazai,KAPRA YAYINCILIK,4 / 5 (392 oy),7.436,756,94,916,"20,00",18.11.2023,TÜRKÇE,120,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,34702,239
Kafayı Yemeden Yaşama Sanatı,Kitap > Edebiyat > Deneme (Yerli),Ezgi Akgül,NESİL YAYINLARI,5 / 5 (87 oy),2.503,212,40,145,"190,00",20.09.2024,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3949,58
Bekle Beni,Kitap > Edebiyat > Roman (Yerli),Zülfü Livaneli,CAN YAYINLARI,5 / 5 (12 oy),1.923,166,8,31,"320,00",23.09.2025,TÜRKÇE,192,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,2469,4
Millete Emanet,Kitap > Siyaset > Araştırma-İnceleme,Yavuz Oğhan,KIRMIZI KEDİ YAYINEVİ,5 / 5 (22 oy),410,101,7,9,"300,00",08.09.2025,TÜRKÇE,216,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,7022,12
Peri Gazozu,Kitap > Edebiyat > Hikaye (Yerli),Ercan Kesal,İLETİŞİM YAYINLARI,5 / 5 (619 oy),4.973,325,21,726,"240,00",05.05.2025,TÜRKÇE,198,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,9868,365
Şampiyon Altın Ayak,Kitap > Çocuk Kitapları > Hikaye,Funda Uçuk Er,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (31 oy),796,41,11,64,"110,00",13.01.2025,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,4121,19
Dokuz Yüz Katlı İnsan,Kitap > Psikoloji > İnceleme,Dr. Mustafa Merter,KETEBE YAYINEVİ,5 / 5 (28 oy),1.495,73,15,33,"349,00",20.08.2024,TÜRKÇE,464,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2143,18
Çocuk Geliyor,Kitap > Edebiyat > Roman (Çeviri),Han Kang,APRIL YAYINCILIK,5 / 5 (115 oy),2.022,127,14,130,"240,00",21.02.2024,TÜRKÇE,168,Karton Kapak,Bilgi Yok,Kitap Kağıdı,2762,53
Yaşasın Ç Harfi Kardeşliği!,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Behiç Ak,GÜNIŞIĞI KİTAPLIĞI,5 / 5 (384 oy),2.615,232,28,550,"245,00",14.10.2019,TÜRKÇE,104,Karton Kapak,12 x 18 cm,3. Hm. Kağıt,25289,162
Kayıp Ağaçlar Adası,Kitap > Edebiyat > Roman (Yerli),Elif Şafak,DOĞAN KİTAP,5 / 5 (198 oy),3.772,277,46,471,"440,00",21.07.2023,TÜRKÇE,408,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,9277,141
İnsan İnsana,Kitap > Psikoloji > İnceleme,Doğan Cüceloğlu,KRONİK KİTAP,5 / 5 (195 oy),12.141,453,56,378,"275,00",09.08.2025,TÜRKÇE,312,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,15596,102
Niyet Şifası,Kitap > Edebiyat > Roman (Yerli),Funda Uçuk Er,HAYY KİTAP,5 / 5 (106 oy),1.908,138,21,182,"325,00",01.11.2024,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5526,78
