Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Lo,Kitap > Çocuk Kitapları > Roman,Şermin Yaşar,DOĞAN ÇOCUK,5 / 5 (220 oy),4.400,331,47,617,"320,00",21.04.2022,TÜRKÇE,120,Karton Kapak,13.7 x 21 cm,Kitap Kağıdı,16350,140
Hayvan Çiftliği (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,George Orwell,CAN YAYINLARI,5 / 5 (19471 oy),45.432,6.177,845,25.861,"110,00",04.10.2019,TÜRKÇE,152,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,212980,9.067
Alaycı Kuş,Kitap > Siyaset > Araştırma-İnceleme > Kitap > Sosyoloji > Araştırma-İnceleme,Banu Avar,REMZİ KİTABEVİ,5 / 5 (41 oy),1.512,145,20,68,"210,00",28.02.2025,TÜRKÇE,136,Karton Kapak,13.4 x 19.8 cm,Kitap Kağıdı,1883,26
LabirentBatı ve Hasımları,Kitap > Edebiyat > Deneme (Çeviri),Amin Maalouf,YAPI KREDİ YAYINLARI,5 / 5 (129 oy),5.993,376,28,229,"180,00",11.03.2024,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,8342,72
Beyaz Zambaklar Ülkesinde (Cep Boy) (Tam Metin),Kitap > Tarih > Bölgeler-Ülkeler > Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Edebiyat > Anı (Hatırat),Grigory Petrov,KARBON KİTAPLAR,5 / 5 (748 oy),4.288,463,51,777,"20,00",14.05.2019,TÜRKÇE,110,Karton Kapak,10.5 x 15 cm,Kitap Kağıdı,30907,359
Robotları Yendiğimiz Gün,Kitap > Çocuk Kitapları > Hikaye,Hüseyin Keleş,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (18 oy),524,34,3,49,"110,00",07.08.2024,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,2535,10
Kırmızı Pazartesi,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İspanyolca,Gabriel Garcia Marquez,CAN YAYINLARI,4 / 5 (10488 oy),48.698,4.958,470,13.791,"210,00",15.04.2019,TÜRKÇE,120,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,127196,4.689
Dedemin Kurabiyeleri,Kitap > Çocuk Kitapları > Hikaye,Emine Arlı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (88 oy),1.772,110,13,203,"110,00",03.06.2025,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7972,53
Kur'an'ın Kalbine YolculukYasin Suresi Tefsiri,Kitap > İslam > Tefsir-Meal,Yasin Pişgin,TİMAŞ YAYINLARI,5 / 5 (335 oy),7.067,426,84,455,"350,00",22.07.2024,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,12624,196
Başarıya Götüren Aile,Kitap > Psikoloji > İnceleme,Doğan Cüceloğlu,KRONİK KİTAP,5 / 5 (52 oy),3.332,93,12,103,"225,00",23.01.2024,TÜRKÇE,160,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4691,27
